Sector Description,Registration Status,Municipality,Average Wage Men,Average Wage Women
Industria perpunuese,Individual,OBILIQ,223.43,198.18
Arsimi,Individual,GRAÇANICË,200.81,163.35
Person Fizik,Person fizik,LIPJAN,303.18,261.53
"Aktivitetet profesionale, shkencore dhe teknike",Individual,KAMENICË,220.0,170.0
Industria perpunuese,SH.P.K.,NOVOBËRDË,253.81,245.0
Informimi dhe komunikimi,SH.P.K.,MALISHEVË,685.99,459.56
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,FERIZAJ,428.09,326.05
Akomodimi dhe sherbimi ushqimor,Individual,HANI I ELEZIT,166.88,195.0
Aktivitetet e tjera sherbyese,SH.P.K.,PRIZREN,205.83,170.0
Transporti dhe magazinimi,SH.P.K.,FERIZAJ,334.31,304.6
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KAMENICË,247.46,247.23
"Artet, Argetimi dhe rekreacioni",Individual,FERIZAJ,183.75,210.0
Aktivitetet e patundshmerise,SH.P.K.,GJILAN,284.09,245.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,PODUJEVË,345.74,201.88
Mungon aktiviteti,OJQ,PRISHTINË,703.73,518.44
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SHTIME,247.38,215.71
Aktivitetet e tjera sherbyese,Individual,DEÇAN,185.71,177.27
Industria perpunuese,Ortakëria e përgj.,GJAKOVË,591.95,350.0
Arsimi,SH.P.K.,VITI,160.92,234.8
Transporti dhe magazinimi,Individual,GJAKOVË,237.11,258.43
Arsimi,Individual,VUSHTRRI,115.0,233.0
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,347.96,344.26
Sherbimet administrative dhe mbeshtetese,Individual,SHTIME,266.78,225.0
Akomodimi dhe sherbimi ushqimor,Individual,KLINË,173.02,192.54
Industria perpunuese,Ndërmarrje nën menaxhim të AKP-së,GJAKOVË,326.99,428.57
Aktivitetet e tjera sherbyese,Individual,PODUJEVË,210.55,214.29
Informimi dhe komunikimi,SH.P.K.,PRIZREN,741.59,497.26
Aktivitetet e patundshmerise,SH.P.K.,MALISHEVË,292.4,150.0
Aktivitetet e tjera sherbyese, Bashkësi Fetare,RAHOVEC,724.4,120.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRISHTINË,699.07,506.17
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PEJË,757.86,548.43
Ndertimtaria,SH.P.K.,MITROVICË VERIORE,263.27,250.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJILAN,199.17,195.71
"Furnizimi me rryme, gaz, avull dhe  ajer te kondicionuar",Shoqëri akcionare,MALISHEVË,225.0,250.0
Akomodimi dhe sherbimi ushqimor,Individual,FERIZAJ,182.28,183.65
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje shoq.,PRIZREN,314.29,428.57
Sherbimet administrative dhe mbeshtetese,Individual,FUSHË KOSOVË,506.43,357.33
Akomodimi dhe sherbimi ushqimor,Individual,GLLOGOC,245.36,197.09
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,KAMENICË,267.17,253.31
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,DRAGASH,213.33,197.5
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,FERIZAJ,672.74,432.72
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,GJAKOVË,295.78,239.57
Industria nxjerrese,SH.P.K.,RAHOVEC,374.22,287.14
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ISTOG,253.13,242.84
Sherbimet administrative dhe mbeshtetese,Individual,DEÇAN,270.0,310.97
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,GLLOGOC,538.77,355.08
Industria perpunuese,Individual,DEÇAN,319.97,268.93
Arsimi,Individual,GJAKOVË,177.72,181.05
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,VITI,202.46,206.15
Informimi dhe komunikimi,Individual,GRAÇANICË,214.0,264.31
Transporti dhe magazinimi,SH.P.K.,PRISHTINË,442.25,356.43
Aktivitetet financiare dhe te sigurimit,SH.P.K.,LIPJAN,170.0,170.0
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,LIPJAN,410.75,386.22
Ndertimtaria,Individual,SHTËRPCË,350.0,285.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KLINË,200.89,198.18
Transporti dhe magazinimi,Individual,PODUJEVË,229.1,221.93
Industria nxjerrese,SH.P.K.,KAÇANIK,549.97,225.0
Sherbimet administrative dhe mbeshtetese,Individual,LIPJAN,162.5,175.35
Aktivitetet e tjera sherbyese,SH.P.K.,OBILIQ,242.96,356.67
Transporti dhe magazinimi,Ndërmarrje shoq.,MITROVICË,267.5,226.56
Ndertimtaria,SH.P.K.,MALISHEVË,380.3,384.06
Informimi dhe komunikimi,SH.P.K.,SUHAREKË,361.19,232.3
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,LIPJAN,216.78,210.73
Industria perpunuese,Ndërmarrje shoq.,PRISHTINË,275.61,314.29
Arsimi,SH.P.K.,KAÇANIK,117.5,147.5
Aktivitetet e tjera sherbyese,Individual,MITROVICË,286.0,185.46
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MALISHEVË,349.32,238.54
Industria nxjerrese,Individual,MITROVICË,273.33,180.0
Ndertimtaria,SH.P.K.,LIPJAN,412.78,362.51
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,GJAKOVË,200.0,200.0
Aktivitetet financiare dhe te sigurimit,SH.P.K.,KLINË,364.19,250.0
Person Fizik,Person fizik,PRIZREN,565.45,582.58
Industria nxjerrese,SH.P.K.,ZUBIN POTOK,190.0,200.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,MITROVICË,408.67,379.81
Industria perpunuese,Shoqëri akcionare,GJILAN,541.87,580.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,VUSHTRRI,415.45,362.96
Aktivitetet e tjera sherbyese,Organizata Buxhetore,PRISHTINË,523.92,489.12
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,197.39,210.77
Bujqesia;Pylltaria dhe Peshkimi,Individual,KLINË,266.17,193.31
Akomodimi dhe sherbimi ushqimor,Individual,MAMUSHË,195.0,200.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,227.57,211.32
Aktivitetet financiare dhe te sigurimit,Individual,KLINË,371.28,294.05
Informimi dhe komunikimi,Individual,KAMENICË,130.0,190.0
Person Fizik,Person fizik,PODUJEVË,281.77,303.43
"Aktivitetet profesionale, shkencore dhe teknike",Individual,OBILIQ,233.63,215.79
"Artet, Argetimi dhe rekreacioni",SH.P.K.,FUSHË KOSOVË,257.0,155.0
Arsimi,Ortakëria e përgj.,VUSHTRRI,110.0,170.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,KAMENICË,437.41,401.19
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,RAHOVEC,285.33,300.0
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SKENDERAJ,298.77,195.83
Person Fizik,Person fizik,DRAGASH,170.0,222.5
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,ISTOG,283.33,225.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,RAHOVEC,232.72,200.0
Sherbimet administrative dhe mbeshtetese,Individual,PARTESH,200.0,200.0
Transporti dhe magazinimi,Individual,KAMENICË,179.57,186.67
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,JUNIK,257.45,201.09
Ndertimtaria,Individual,PARTESH,483.33,500.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,KAÇANIK,189.15,206.86
Industria perpunuese,SH.P.K.,RAHOVEC,455.47,341.59
Transporti dhe magazinimi,Individual,GRAÇANICË,170.0,130.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,ZUBIN POTOK,368.49,317.93
Sherbimet administrative dhe mbeshtetese,SH.P.K.,GLLOGOC,487.37,446.43
Akomodimi dhe sherbimi ushqimor,SH.P.K.,NOVOBËRDË,358.55,425.0
Informimi dhe komunikimi,SH.P.K.,GLLOGOC,263.48,237.5
Mungon aktiviteti,Organizata Buxhetore,FERIZAJ,132.45,15.0
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Organizata Buxhetore,GJILAN,288.34,353.33
Akomodimi dhe sherbimi ushqimor,SH.P.K.,VITI,239.09,235.38
"Artet, Argetimi dhe rekreacioni",SH.P.K.,GJAKOVË,223.79,248.57
Aktivitetet e tjera sherbyese,OJQ,KLINË,130.27,84.21
Mungon aktiviteti,OJQ,FERIZAJ,441.58,347.15
Aktivitetet e tjera sherbyese,Individual,RANILLUG,20.0,170.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJAKOVË,297.24,317.03
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,238.31,232.45
Aktivitetet e tjera sherbyese,Parti Politike,PRIZREN,232.3,193.86
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,Individual,NOVOBËRDË,250.0,250.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,215.26,237.52
"Aktivitetet profesionale, shkencore dhe teknike",Individual,PODUJEVË,245.62,245.06
Mungon aktiviteti,OJQ,MALISHEVË,349.23,360.48
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,RAHOVEC,240.0,208.04
Ndertimtaria,SH.P.K.,SUHAREKË,529.56,433.62
Mungon aktiviteti,OJQ,SUHAREKË,481.33,449.47
Bujqesia;Pylltaria dhe Peshkimi,Shoqëri akcionare,PRISHTINË,407.33,433.25
"Aktivitetet profesionale, shkencore dhe teknike",Individual,GJAKOVË,311.09,335.37
Informimi dhe komunikimi,SH.P.K.,GJILAN,527.68,461.98
Aktivitetet e tjera sherbyese,Shoqatë,PRISHTINË,350.0,400.0
Aktivitetet e tjera sherbyese,Individual,PEJË,257.0,210.88
Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRIZREN,318.75,302.52
Mungon aktiviteti,SH.P.K.,PRIZREN,264.72,298.99
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,DRAGASH,325.0,280.0
Industria perpunuese,SH.P.K.,OBILIQ,493.41,356.77
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PARTESH,176.47,165.71
Arsimi,Individual,PODUJEVË,213.22,196.25
Transporti dhe magazinimi,Individual,SUHAREKË,230.25,218.18
Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,215.23,229.67
Sherbimet administrative dhe mbeshtetese,Individual,MITROVICË,350.94,270.06
Aktivitetet e shendetit te njeriut dhe te punes sociale,Kompani e huaj,PRIZREN,650.52,423.03
Bujqesia;Pylltaria dhe Peshkimi,Individual,VUSHTRRI,175.56,179.33
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MITROVICË,357.83,225.91
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,NOVOBËRDË,197.42,181.05
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MAMUSHË,206.46,231.0
"Artet, Argetimi dhe rekreacioni",Individual,GJILAN,185.0,223.33
Arsimi,Individual,KLINË,152.38,110.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,VUSHTRRI,176.67,150.0
Informimi dhe komunikimi,Ndërmarrje shoq.,PRISHTINË,411.27,453.33
Informimi dhe komunikimi,Kompani e huaj,PRIZREN,774.02,250.0
Industria nxjerrese,SH.P.K.,FERIZAJ,378.27,332.16
Aktivitetet e tjera sherbyese,OJQ,FUSHË KOSOVË,347.14,332.37
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PEJË,234.75,211.13
Arsimi,Individual,HANI I ELEZIT,170.0,200.0
Bujqesia;Pylltaria dhe Peshkimi,Ndërmarrje pub.,PRIZREN,60.36,60.36
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,VITI,219.63,259.81
"Aktivitetet profesionale, shkencore dhe teknike",Individual,GLLOGOC,234.04,275.14
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MALISHEVË,351.54,317.42
Aktivitetet e shendetit te njeriut dhe te punes sociale,Organizata Buxhetore,PRISHTINË,346.4,370.5
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,MALISHEVË,406.36,457.69
Industria perpunuese,SH.P.K.,PODUJEVË,311.13,257.63
Transporti dhe magazinimi,Shoqëri akcionare,FERIZAJ,325.87,367.94
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GRAÇANICË,328.14,531.21
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KAMENICË,315.37,206.89
Informimi dhe komunikimi,Individual,SUHAREKË,401.39,301.43
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,193.9,220.0
Sherbimet administrative dhe mbeshtetese,Individual,KLINË,218.33,200.0
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PEJË,346.36,258.21
Aktivitetet e tjera sherbyese,OJQ,KAMENICË,357.25,381.52
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GRAÇANICË,304.4,558.83
Sherbimet administrative dhe mbeshtetese,Individual,PEJË,275.41,356.78
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,188.14,194.38
"Artet, Argetimi dhe rekreacioni",Ortakëria e përgj.,KAMENICË,221.43,200.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,VUSHTRRI,197.44,179.33
Aktivitetet e tjera sherbyese,Ndërmarrje shoq.,PRISHTINË,318.78,314.29
"Artet, Argetimi dhe rekreacioni",SH.P.K.,KLINË,254.85,213.33
Ndertimtaria,SH.P.K.,LIPJAN,353.93,338.37
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLLOKOT,182.86,180.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,SKENDERAJ,200.0,194.5
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,RANILLUG,135.0,170.0
Industria perpunuese,Individual,OBILIQ,258.62,248.0
Informimi dhe komunikimi,SH.P.K.,FUSHË KOSOVË,526.85,463.53
Person Fizik,Person fizik,MITROVICË,312.63,241.65
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KAMENICË,173.33,185.71
Akomodimi dhe sherbimi ushqimor,Individual,ISTOG,234.66,222.34
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MAMUSHË,220.9,253.49
"Aktivitetet profesionale, shkencore dhe teknike",Individual,FUSHË KOSOVË,413.33,343.59
Informimi dhe komunikimi,SH.P.K.,SHTIME,356.67,150.0
Industria perpunuese,Individual,RAHOVEC,245.2,220.57
Industria perpunuese,Individual,OBILIQ,209.82,201.0
Mungon aktiviteti,Parti Politike,MITROVICË VERIORE,559.91,328.15
Arsimi,Individual,MALISHEVË,232.4,229.77
Informimi dhe komunikimi,Individual,GRAÇANICË,260.49,220.0
Akomodimi dhe sherbimi ushqimor,Individual,MALISHEVË,191.62,184.67
"Artet, Argetimi dhe rekreacioni",Individual,PRISHTINË,228.82,231.42
Industria perpunuese,Shoqëri akcionare,MITROVICË,406.29,447.64
Transporti dhe magazinimi,Ndërmarrje pub.,PRISHTINË,651.1,548.24
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,MITROVICË,582.92,448.39
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa Bujq.,PRIZREN,321.42,170.0
Aktivitetet financiare dhe te sigurimit,Individual,FERIZAJ,233.75,176.45
"Artet, Argetimi dhe rekreacioni",Individual,GJILAN,217.33,185.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GLLOGOC,314.25,271.97
Akomodimi dhe sherbimi ushqimor,SH.P.K.,PEJË,311.14,291.24
Mungon aktiviteti,OJQ,ZUBIN POTOK,769.43,536.03
Bujqesia;Pylltaria dhe Peshkimi,Individual,GJILAN,250.5,155.0
Aktivitetet e shendetit te njeriut dhe te punes sociale,Ortakëria e përgj.,PODUJEVË,250.0,200.0
"Artet, Argetimi dhe rekreacioni",Organizata Buxhetore,PRISHTINË,330.33,336.78
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJAKOVË,265.33,173.65
Aktivitetet financiare dhe te sigurimit,Individual,FERIZAJ,247.5,216.45
Informimi dhe komunikimi,Individual,PODUJEVË,100.0,196.67
Industria perpunuese,Individual,MAMUSHË,191.39,183.33
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,SUHAREKË,342.64,308.74
Person Fizik,Person fizik,KAMENICË,173.64,182.5
"Artet, Argetimi dhe rekreacioni",OJQ,SHTIME,387.5,190.48
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,ZVEÇAN,278.68,193.16
Transporti dhe magazinimi,SH.P.K.,GLLOGOC,305.58,375.0
Bujqesia;Pylltaria dhe Peshkimi,Individual,PRIZREN,214.86,199.19
Transporti dhe magazinimi,SH.P.K.,PRIZREN,358.14,282.25
Ndertimtaria,SH.P.K.,MITROVICË,343.89,338.37
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRIZREN,271.46,223.04
Ndertimtaria,Individual,SKENDERAJ,374.57,459.31
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,RAHOVEC,337.85,266.67
Sherbimet administrative dhe mbeshtetese,Individual,SUHAREKË,230.41,220.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,556.37,429.1
Aktivitetet e patundshmerise,SH.P.K.,GJAKOVË,624.74,258.44
"Aktivitetet profesionale, shkencore dhe teknike",Individual,VITI,173.85,246.83
Transporti dhe magazinimi,Individual,NOVOBËRDË,200.0,200.0
Industria nxjerrese,Individual,MALISHEVË,250.82,220.0
Sherbimet administrative dhe mbeshtetese,Individual,VITI,203.0,178.0
Akomodimi dhe sherbimi ushqimor,Individual,OBILIQ,239.12,224.84
Sherbimet administrative dhe mbeshtetese,Individual,LIPJAN,100.0,164.01
Transporti dhe magazinimi,Individual,JUNIK,170.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GRAÇANICË,441.44,372.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRIZREN,532.61,348.44
Industria perpunuese,Individual,ZUBIN POTOK,194.3,182.89
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,SHTËRPCË,221.43,170.0
Transporti dhe magazinimi,SH.P.K.,ZVEÇAN,150.0,150.0
Person Fizik,Person fizik,GJAKOVË,350.68,243.66
Aktivitetet e tjera sherbyese,Individual,GJAKOVË,168.18,181.19
Aktivitetet financiare dhe te sigurimit,SH.P.K.,FERIZAJ,307.39,292.51
Ndertimtaria,SH.P.K.,GRAÇANICË,692.61,471.63
Transporti dhe magazinimi,Ortakëria e përgj.,PRISHTINË,172.41,170.0
Sherbimet administrative dhe mbeshtetese,Individual,MALISHEVË,212.73,185.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,MITROVICË,189.23,170.45
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KAÇANIK,282.05,226.94
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,VUSHTRRI,394.35,236.39
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,FERIZAJ,293.99,223.67
"Artet, Argetimi dhe rekreacioni",Individual,LIPJAN,165.71,180.0
"Artet, Argetimi dhe rekreacioni",Individual,GJAKOVË,210.54,203.47
"Artet, Argetimi dhe rekreacioni",Individual,PRIZREN,214.44,211.11
Transporti dhe magazinimi,SH.P.K.,DEÇAN,249.24,279.23
Ndertimtaria,Individual,LIPJAN,236.27,204.85
Aktivitetet e tjera sherbyese,Individual,MITROVICË,238.09,179.17
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,RAHOVEC,405.69,391.82
Ndertimtaria,Individual,PODUJEVË,253.26,211.3
Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,257.35,231.14
Person Fizik,Person fizik,SHTIME,234.62,232.5
Transporti dhe magazinimi,Ortakëria e përgj.,PODUJEVË,200.0,200.0
"Artet, Argetimi dhe rekreacioni",Individual,LIPJAN,258.95,234.02
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,SUHAREKË,420.43,176.45
Ndertimtaria,SH.P.K.,DEÇAN,458.3,394.84
Industria perpunuese,Ortakëria e përgj.,GJAKOVË,331.67,302.5
Industria perpunuese,SH.P.K.,ISTOG,485.92,310.58
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PEJË,240.79,210.91
Sherbimet administrative dhe mbeshtetese,SH.P.K.,PRIZREN,242.27,246.65
Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,195.94,238.34
Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,ISTOG,363.73,304.59
Aktivitetet e shendetit te njeriut dhe te punes sociale,OJQ,GJAKOVË,288.89,387.62
Industria perpunuese,Individual,SKENDERAJ,262.57,222.65
Industria perpunuese,SH.P.K.,DRAGASH,466.32,398.41
Arsimi,Individual,PARTESH,130.0,170.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MALISHEVË,303.98,260.65
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,LIPJAN,334.42,269.0
Aktivitetet e tjera sherbyese,OJQ,SHTIME,400.0,350.0
Arsimi,SH.P.K.,LIPJAN,547.95,654.25
Industria nxjerrese,SH.P.K.,KAÇANIK,710.81,497.47
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,RANILLUG,172.5,170.0
Transporti dhe magazinimi,SH.P.K.,OBILIQ,200.0,200.0
Mungon aktiviteti,Organizata Buxhetore,KAMENICË,486.47,486.27
Mungon aktiviteti,OJQ,MALISHEVË,170.0,203.33
Ndertimtaria,SH.P.K.,VUSHTRRI,349.09,277.13
Industria nxjerrese,Individual,MITROVICË,273.33,180.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJAKOVË,266.91,291.21
Aktivitetet e patundshmerise,Shoqëri akcionare,PRISHTINË,674.9,631.85
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FUSHË KOSOVË,388.07,334.41
Transporti dhe magazinimi,SH.P.K.,KAMENICË,255.33,282.28
Mungon aktiviteti,Projekt,PRISHTINË,160.72,353.62
Akomodimi dhe sherbimi ushqimor,Kompani e huaj,GRAÇANICË,300.0,300.0
Akomodimi dhe sherbimi ushqimor,SH.P.K.,HANI I ELEZIT,201.25,274.34
Industria nxjerrese,SH.P.K.,ISTOG,204.17,210.0
Aktivitetet e tjera sherbyese,SH.P.K.,GJILAN,197.06,198.55
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLLOKOT,182.86,180.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,JUNIK,228.32,191.56
Person Fizik,Person fizik,PODUJEVË,625.8,513.43
Akomodimi dhe sherbimi ushqimor,SH.P.K.,SHTIME,269.05,208.89
Aktivitetet financiare dhe te sigurimit,Individual,MALISHEVË,200.0,200.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRIZREN,430.49,325.5
Ndertimtaria,Individual,GLLOGOC,317.74,232.6
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,GRAÇANICË,691.01,520.91
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,VUSHTRRI,201.92,176.23
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,DRAGASH,222.44,241.29
Bujqesia;Pylltaria dhe Peshkimi,Kooperativa,KLINË,100.0,100.0
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,523.89,419.13
Ndertimtaria,SH.P.K.,FUSHË KOSOVË,408.92,236.61
Industria perpunuese,Ortakëria e përgj.,PRIZREN,279.53,228.22
Ndertimtaria,SH.P.K.,PODUJEVË,297.1,308.81
Informimi dhe komunikimi,Individual,PODUJEVË,100.0,231.67
"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,PRIZREN,170.0,215.79
Informimi dhe komunikimi,SH.P.K.,FERIZAJ,664.58,497.55
"Aktivitetet profesionale, shkencore dhe teknike",Individual,DEÇAN,240.27,256.72
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,KLINË,191.83,247.23
Ndertimtaria,SH.P.K.,PRIZREN,429.46,369.52
Person Fizik,Person fizik,PODUJEVË,328.03,339.32
Akomodimi dhe sherbimi ushqimor,SH.P.K.,FUSHË KOSOVË,266.58,282.91
Aktivitetet e shendetit te njeriut dhe te punes sociale,Kompani e huaj,PRIZREN,760.24,332.5
"Aktivitetet profesionale, shkencore dhe teknike",Ndërmarrje shoq.,PRISHTINË,428.57,428.57
Industria perpunuese,SH.P.K.,SHTIME,282.94,250.31
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,GJILAN,199.17,196.25
"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,FUSHË KOSOVË,491.81,444.94
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,LIPJAN,269.83,437.9
Ndertimtaria,SH.P.K.,KLINË,346.75,329.9
Ndertimtaria,Individual,PODUJEVË,266.95,211.76
Ndertimtaria,Individual,LIPJAN,284.7,259.55
Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Shoqëri akcionare,GRAÇANICË,684.0,570.31
Ndertimtaria,SH.P.K.,ISTOG,424.82,310.03
Furnizimi me uje; Kanalizimi; Aktivitetet e menaxhimit dhe te trajtimit te mbeturinave,SH.P.K.,VUSHTRRI,275.0,300.0
Industria perpunuese,SH.P.K.,KLINË,438.61,331.55
Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PODUJEVË,232.74,200.14
Aktivitetet e tjera sherbyese,Individual,KAÇANIK,170.0,222.0
Aktivitetet financiare dhe te sigurimit,Individual,GJILAN,286.82,400.0
Industria perpunuese,Ortakëria e përgj.,FUSHË KOSOVË,237.17,182.89
Akomodimi dhe sherbimi ushqimor,Individual,DRAGASH,189.51,170.0
Arsimi,SH.P.K.,MALISHEVË,210.81,193.92
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,GJILAN,320.63,260.5
Arsimi,Ortakëria e përgj.,FERIZAJ,451.52,428.42
Aktivitetet e shendetit te njeriut dhe te punes sociale,SH.P.K.,KAÇANIK,406.67,268.77
